Date,XAU_Close,USDVND_Close,XAU_VND_QuyDoi,Nhan_PNJ_24K_Buy,Nhan_PNJ_24K_Sell,NuTrang_10K_Buy,NuTrang_10K_Sell,NuTrang_14K_Buy,NuTrang_14K_Sell,NuTrang_18K_Buy,NuTrang_18K_Sell,NuTrang_24K_Buy,NuTrang_24K_Sell,PNJ_DN_Buy,PNJ_DN_Sell,PNJ_HN_Buy,PNJ_HN_Sell,PNJ_MT_Buy,PNJ_MT_Sell,PNJ_TPHCM_Buy,PNJ_TPHCM_Sell,SJC_DN_Buy,SJC_DN_Sell,SJC_HN_Buy,SJC_HN_Sell,SJC_MT_Buy,SJC_MT_Sell,SJC_TPHCM_Buy,SJC_TPHCM_Sell
2015-01-02,1187.4,21.37,30.593,31.92,32.17,12.06,13.46,17.47,18.87,22.75,24.15,31.2,32.0,31.92,32.17,31.92,32.17,31.92,32.17,31.92,32.17,34.9,35.15,34.9,35.15,34.9,35.15,34.9,35.15
2015-01-05,1204.54,21.37,31.035,32.03,32.28,12.07,13.47,17.48,18.88,22.76,24.16,31.21,32.01,32.03,32.28,32.03,32.28,32.03,32.28,32.03,32.28,35.08,35.18,35.07,35.17,35.08,35.18,35.08,35.18
2015-01-06,1218.53,21.42,31.469,32.23,32.48,12.15,13.55,17.59,18.99,22.91,24.31,31.41,32.21,32.23,32.48,32.23,32.48,32.23,32.48,32.23,32.48,35.19,35.26,35.18,35.25,35.19,35.26,35.19,35.26
2015-01-07,1211.19,21.42,31.279,32.42,32.67,12.25,13.65,17.73,19.13,23.08,24.48,31.64,32.44,32.42,32.67,32.42,32.67,32.42,32.67,32.42,32.67,35.21,35.3,35.21,35.3,35.21,35.3,35.21,35.3
2015-01-08,1208.76,21.36,31.129,32.27,32.52,12.18,13.58,17.64,19.04,22.97,24.37,31.49,32.29,32.27,32.52,32.27,32.52,32.27,32.52,32.27,32.52,35.13,35.22,35.13,35.24,35.13,35.22,35.13,35.22
2015-01-09,1220.73,21.34,31.408,32.37,32.62,12.22,13.62,17.7,19.1,23.04,24.44,31.59,32.39,32.37,32.62,32.37,32.62,32.37,32.62,32.37,32.62,35.11,35.21,35.11,35.21,35.11,35.21,35.11,35.21
2015-01-12,1233.16,21.315,31.69,32.6,32.85,12.32,13.72,17.83,19.23,23.22,24.62,31.82,32.62,32.6,32.85,32.6,32.85,32.6,32.85,32.6,32.85,35.18,35.27,35.18,35.26,35.18,35.27,35.18,35.27
2015-01-13,1230.68,21.315,31.627,32.82,33.07,12.41,13.81,17.96,19.36,23.38,24.78,32.04,32.84,32.82,33.07,32.82,33.07,32.82,33.07,32.82,33.07,35.27,35.36,35.27,35.34,35.27,35.36,35.27,35.36
2015-01-14,1228.61,21.31,31.566,32.74,32.99,12.38,13.78,17.92,19.32,23.32,24.72,31.96,32.76,32.74,32.99,32.74,32.99,32.74,32.99,32.74,32.99,35.22,35.31,35.22,35.31,35.22,35.31,35.22,35.31
2015-01-15,1262.38,21.32,32.449,32.83,33.08,12.42,13.82,17.97,19.37,23.39,24.79,32.05,32.85,32.83,33.08,32.83,33.08,32.83,33.08,32.83,33.08,35.21,35.3,35.21,35.3,35.21,35.3,35.21,35.3
2015-01-16,1275.25,21.315,32.772,33.2,33.45,12.57,13.97,18.18,19.58,23.67,25.07,32.42,33.22,33.2,33.45,33.2,33.45,33.2,33.45,33.2,33.45,35.38,35.47,35.39,35.46,35.38,35.47,35.38,35.47
2015-01-19,1276.68,21.33,32.832,33.55,33.8,12.72,14.12,18.39,19.79,23.93,25.33,32.77,33.57,33.55,33.8,33.55,33.8,33.55,33.8,33.55,33.8,35.47,35.56,35.5,35.56,35.47,35.56,35.47,35.56
2015-01-20,1293.87,21.33,33.274,33.72,34.07,12.79,14.19,18.49,19.89,24.06,25.46,32.94,33.74,33.72,34.07,33.72,34.07,33.72,34.07,33.72,34.07,35.47,35.56,35.49,35.55,35.47,35.56,35.47,35.56
